Tekmovalec,Točke,Št. prvih mest
mikegibson2010,146,0
balage,145,0
keita3,146,0
richyfourtytwo,31,0
Igloo81,52,0
Twinkletoes,117,0
Homuroll,220,0
yosupo,40,0
MinnetBedrar,96,0
Awele,49,0
paulidirac,175,0
Mucleus,58,0
gerbens,47,0
Nore,829,0
karsten2,196,0
Loks,174,0
lacop,9,0
BeniBela,1454,0
mayf3,32,0
mondox,567,0
avisochek,51,0
koerber,435,0
ecottea,35,0
111111,56,0
fractaldimension,58,0
MacKnights,495,0
Jakube,15,0
carlop,1250,0
bgwines,59,0
matthias.schon,6651,0
dcclyde,66,0
jameslao,482,0
eljdmax,11,0
tomh,39,0
Burloq,15,0
PoweredByJava,64,0
Letian,39,0
oantolin,58,0
Andi82,271,0
Darkened,34,0
TenaliRaman,7,0
amling,93,0
burkaysucu,38,0
ethans,7,0
TSbb,56,0
sefi_roee,86,0
ftiasch,209,0
nishanth17,136,0
msylw,23,0
utomaya,16490,0
BrianHuffman,180,0
shinca12,25,0
aewhite,23,0
arnaudpi2,779,0
bewoods,390,0
EvilBro,12,0
sabranguillaume,42,0
dermatheschlumpf,88,0
spv20,1,0
mho,24,0
billchisolm,3,0
kli6891,15,0
y2q_actionman,53,0
semicolon7,54,0
rohar,379,0
OriEy,57,0
BryanScattergood,5,0
cvrrao,34,0
GoodDok,20,0
AlexSadzawka,84,0
hk,224,0
jingplusplus,116,0
alphaxiang,63,0
Gary.,50,0
jake223,670,1
stheophil,14,0
cheddarcheeseyumz,26,0
frendylu,36,0
jujaji,1328,0
luckynoob,13,0
aprihodko,8,0
FancyMouse,38,0
Zenith.ACM,85,0
jijoti,2,0
faryad,86,0
xjt,25,0
SilverBullet,407,0
alfonsofernandez...,74,0
mordna,28,0
kmlau,1813,0
oyvinlek,22,0
martin.huschenbett,264,0
morgoth1145,54,0
mcreinhard,34,0
Ascendental,64,0
Thomas_Beuman,66,0
josephlr,56,0
Richie,118,0
mvaneerde,7,0
tanonev,119,0
jezparov,64,0
DoC352,7,0
marsenis,11,0
BaldAdonis2,48,0
andreas.laemmlein,30,0
Pheesh,382,0
tsmith,70,0
erikjber,9,0
dfc.collins,55,0
kemperb,76,0
kentaro.wakai,245,0
Bubbler,154,0
J_A,179,0
24benson,81,0
ac336,56,0
Senex,88,0
-__--.........-.-.-.,91,0
shubhanshu04,12,0
jasper9876,1025,0
odwalla_bongwater,62,0
Max__,24,0
emppu,82,0
rlipsett,149,0
armul,47,0
beta_projects,114,0
mahrwald,64,0
wdm124,42,0
puzzlepalace,39,0
james.echmalian,39,0
dubdub,25,0
niino,1460,1
blueyoshi321,92,0
nhmllr,63,0
shigosei,68,0
jfrio,65,0
Thoth,5,0
alexkarpan,53,0
Kulu,6,0
AlexeyKuzmin,11,0
angushiggins,435,0
Poita_,129,0
Zarchi,21,0
Zink,1360,1
matsulib,44,0
MathProf1618,187,0
aquach,60,0
henru_wang,63,0
rathmann,79,0
gusorjan,82,0
danh,55,0
Googly,1050,0
IzidoroBaltazar,54,0
papa,60,0
yllan,174,0
xuanyan,13,0
BigT,16,0
bartmate,225,0
nielsb,28,0
pattertall,44,0
FourLegsDriveCat,162,0
sebzim4500,4,0
reussue,102,0
jas7643,12,0
BoltonBailey,382,0
shanth,23,0
sharpeye,95,0
nwalton125,282,0
jeff.collins,69,0
dominique.unruh,15,0
progheal,1569,0
harmatan,13,0
MrBingley,17,0
st1974,2565,0
vkon15,23,0
xplat,63,0
SamuelTangz,14,0
russellr,216,0
cfern,59,0
Darko,65,0
ne.script,39,0
WG4ZHZ2P2Q,9224,0
x22,26444,17
Lucas.m,18,0
dgiaimo,197,0
qhe,443,0
sirknightingfail,479,0
Ncw8,58,0
kundan,78,0
danielpwn,27,0
roman.tyshchenko,70,0
mstmar,61,0
Arcoth,43,0
ASHRYNA,266,0
FatPhil,86,0
davidlukewilcox,9,0
hjf,74,0
Owlfred,41,0
jpaulson,1165,0
Achab,151,0
andreig,757,0
biltharesatyendra,69,0
